Target device: xilinx_u250_gen3x16_xdma_shell_4_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
5698.55,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5719.04,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5739.46,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5759.9,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5780.41,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5800.96,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5821.45,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5842.03,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5862.47,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5882.96,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5903.38,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5923.91,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5944.32,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5964.85,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
5985.37,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
6005.82,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
6026.33,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
6046.72,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
6068.24,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
6088.89,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
6109.46,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
6130.12,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
6150.7,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
6171.26,1037,12238,1347,12161,12216,850,0,3347,0,0,0,0,28,31,35,31,35,38,0,34,28,32,42,0,
