Target device: xilinx_u280_gen3x16_xdma_base_1-0
timestamp,12v_aux_curr,12v_aux_vol,12v_pex_curr,12v_pex_vol,vccint_curr,vccint_vol,3v3_pex_curr,3v3_pex_vol,cage_temp0,cage_temp1,cage_temp2,cage_temp3,dimm_temp0,dimm_temp1,dimm_temp2,dimm_temp3,fan_temp,fpga_temp,hbm_temp,se98_temp0,se98_temp1,se98_temp2,vccint_temp,fan_rpm
6437.81,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6458.2,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6478.6,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6498.99,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6519.39,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6539.78,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6560.18,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6580.58,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6600.98,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6621.37,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6641.76,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6662.19,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6682.58,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6702.97,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6723.36,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6743.75,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6764.15,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6784.54,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6804.94,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6825.32,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6845.86,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6866.29,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6886.82,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6907.84,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6928.85,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6949.9,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6970.88,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
6991.92,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
7012.96,795,12156,1134,12107,5376,851,0,3277,0,0,0,0,27,26,0,0,28,37,32,31,28,0,0,0,
